time,signal,strength,entry,sl,tp1,tp2
2026-07-02 03:49:45.234879,شراء 🟢,105,4049.45,4041.1973907391757,4057.702609260824,4065.955218521648
2026-07-02 03:50:44.459934,شراء 🟢,105,4050.78,4042.3302478820333,4059.229752117967,4067.679504235934
2026-07-02 03:56,شراء 🟢,120,4051.065,4042.615247882033,4059.514752117967,4067.964504235934
2026-07-02 03:57,شراء 🟢,120,4050.305,4041.855247882033,4058.7547521179667,4067.2045042359337
2026-07-02 03:58,شراء 🟢,120,4050.18,4041.730247882033,4058.6297521179667,4067.0795042359337
2026-07-02 03:59,شراء 🟢,120,4051.05,4042.6002478820333,4059.499752117967,4067.949504235934
2026-07-02 04:00,شراء 🟢,115,4057.945,4049.570944461793,4066.3190555382075,4074.693111076415
2026-07-02 04:01,شراء 🟢,115,4060.845,4052.204873033221,4069.485126966779,4078.1252539335574
2026-07-02 04:04,شراء 🟢,115,4065.53,4056.39630160465,4074.6636983953504,4083.7973967907005
2026-07-02 04:06,شراء 🟢,115,4063.12,4053.9863016046497,4072.25369839535,4081.3873967907
2026-07-02 04:06,شراء 🟢,115,4062.415,4053.28130160465,4071.54869839535,4080.6823967907003
2026-07-02 12:50,شراء 🟢,85,4069.515,4061.0332240930275,4077.9967759069723,4086.4785518139443
2026-07-02 12:51,شراء 🟢,85,4070.185,4061.7032240930275,4078.6667759069724,4087.1485518139443
